Course Name,Phone Number,Max Holes,Min Holes,Par,Yards
Confederation Park,4033001002,9,9,38,3203
Maple Ridge,4033001004,18,18,71,6494
McCall Lake,4033001005,18,18,71,6845
McCall Lake Par 3,4033001005,9,9,27,913
Shaganappi Point Valley,4033001007,9,9,32,2169
Shaganappi Point,4033001007,18,18,68,5181
Lakeview,4033001003,9,9,30,1582
